Rank,Name,Category,USDC Amount (USD),% of Total
1,Binance CEX,CEX,10478062088.86,26.7034%
2,Hyperliquid Bridge,Bridge,4859682020.61,12.3849%
3,Sky Lending,CDP,3988049632.22,10.1636%
4,Maple,Lending,1529164270.33,3.8971%
5,Centrifuge Protocol,RWA,1349719535.86,3.4398%
6,Steakhouse Financial,Risk Curators,1229448002.05,3.1333%
7,Anemoy Capital,RWA,1134863025.80,2.8922%
8,Polygon Bridge,Chain,1101700338.70,2.8077%
9,OKX,CEX,997526372.51,2.5422%
10,Deribit,CEX,665664533.05,1.6965%
11,Bybit,CEX,611606397.38,1.5587%
12,Gauntlet,Risk Curators,590732569.06,1.5055%
13,Lighter Bridge,Bridge,490336036.92,1.2496%
14,Polymarket International,Prediction Market,450316116.41,1.1476%
15,Hyperliquid HLP,Derivatives,394395595.62,1.0051%
16,Veda,Onchain Capital Allocator,317553548.73,0.8093%
17,Uniswap V3,Dexs,310194712.86,0.7905%
18,Ethena USDe,Basis Trading,292763089.68,0.7461%
19,Sentora,Risk Curators,288478777.92,0.7352%
20,M0,Stablecoin Issuer,287192128.14,0.7319%
21,Morpho Blue,Lending,277990664.71,0.7085%
22,Curve DEX,Dexs,237187857.56,0.6045%
23,Aave V3,Lending,234292461.59,0.5971%
24,Bitget,CEX,218752159.25,0.5575%
25,Re,RWA,192952414.25,0.4917%
26,Pareto Credit,RWA Lending,180303485.64,0.4595%
27,OnRe,RWA,170065131.95,0.4334%
28,RealT Tokens,RWA,156823368.65,0.3997%
29,Extended,Derivatives,156157051.49,0.3980%
30,Hyperliquid Spot Orderbook,Dexs,150096805.30,0.3825%
31,Jupiter Perpetual Exchange,Derivatives,147669327.98,0.3763%
32,Uniswap V4,Dexs,139332908.67,0.3551%
33,HTX,CEX,131763559.41,0.3358%
34,Crypto-com,CEX,103098931.31,0.2627%
35,dYdX V4,Derivatives,100380422.63,0.2558%
36,Aera V3,Onchain Capital Allocator,95087849.32,0.2423%
37,Ember Protocol,Onchain Capital Allocator,93911893.29,0.2393%
38,Compound V3,Lending,93266255.65,0.2377%
39,Unitas,Basis Trading,91610533.42,0.2335%
40,Orca DEX,Dexs,89955833.02,0.2293%
41,GMX V2 Perps,Derivatives,88169967.62,0.2247%
42,Grove Finance,Onchain Capital Allocator,86433051.91,0.2203%
43,KuCoin,CEX,83803967.03,0.2136%
44,MEXC,CEX,82644948.65,0.2106%
45,infiniFi,Yield,82089160.93,0.2092%
46,Lulo,Yield Aggregator,81103248.65,0.2067%
