Rank,Name,Category,USDT Amount (USD),% of Total
1,Binance CEX,CEX,44132091844.27,52.1418%
2,OKX,CEX,10479565520.02,12.3815%
3,Bybit,CEX,5796902001.84,6.8490%
4,USDT0,Bridge,3681448167.83,4.3496%
5,JustCryptos,Bridge,2561319990.23,3.0262%
6,MEXC,CEX,2466514631.07,2.9142%
7,Bitget,CEX,1197009770.14,1.4143%
8,KuCoin,CEX,1141399985.57,1.3486%
9,WisdomTree,RWA,989113064.85,1.1686%
10,Bitfinex,CEX,966590064.03,1.1420%
11,Uniswap V2,Dexs,944938950.60,1.1164%
12,PancakeSwap AMM,Dexs,871264133.31,1.0294%
13,Gate,CEX,777645502.25,0.9188%
14,Maple,Lending,573535540.45,0.6776%
15,Raydium AMM,Dexs,567095168.34,0.6700%
16,Quickswap Dex,Dexs,459324444.83,0.5427%
17,Spark Liquidity Layer,Onchain Capital Allocator,452830282.83,0.5350%
18,Aster Bridge,Bridge,380055537.77,0.4490%
19,BingX,CEX,353803147.96,0.4180%
20,Steakhouse Financial,Risk Curators,234623726.73,0.2772%
21,Optimism Bridge,Canonical Bridge,192412589.91,0.2273%
22,Midas RWA,RWA,182913060.14,0.2161%
23,USDD,CDP,167122793.64,0.1975%
24,Kamino Liquidity,Liquidity Manager,162174027.01,0.1916%
25,HTX,CEX,150756796.11,0.1781%
26,Phemex,CEX,140605931.78,0.1661%
27,SUNSwap V3,Dexs,140284899.66,0.1657%
28,CIAN Yield Layer,Yield Aggregator,128488221.23,0.1518%
29,SparkLend,Lending,128133365.76,0.1514%
30,Uniswap V3,Dexs,122793615.46,0.1451%
31,edgeX Bridge,Bridge,120142674.26,0.1419%
32,Dswap,Dexs,104014264.80,0.1229%
33,Crypto-com,CEX,102484513.37,0.1211%
34,Curve DEX,Dexs,98876870.18,0.1168%
35,Lofty,RWA,98731458.05,0.1167%
36,PancakeSwap AMM V3,Dexs,97743399.01,0.1155%
37,JustLend,Lending,97603402.77,0.1153%
38,Bitmex,CEX,95272445.08,0.1126%
39,K3 Capital,Risk Curators,91249482.17,0.1078%
40,Venus Core Pool,Lending,80884029.37,0.0956%
41,WEEX,CEX,76780511.38,0.0907%
42,HashKey Exchange,CEX,70376294.34,0.0831%
43,Gauntlet,Risk Curators,67574305.56,0.0798%
44,Uniswap V4,Dexs,66469738.36,0.0785%
45,SUNSwap V1,Dexs,66055226.24,0.0780%
46,stUSDT,RWA,63538873.69,0.0751%
47,APX Bridge,Bridge,61794895.28,0.0730%
48,BloFin,CEX,61171064.67,0.0723%
49,Bwatch,Indexes,58324019.00,0.0689%
50,Grvt Bridge,Bridge,58206850.92,0.0688%
51,Concrete,Onchain Capital Allocator,55995054.16,0.0662%
52,Morpho Blue,Lending,55381336.08,0.0654%
53,PinkSale,Launchpad,53956044.94,0.0637%
54,Aquarius Stellar,Dexs,51883727.92,0.0613%
55,ORIGYN,RWA,51292866.58,0.0606%
56,Flying Tulip Yield,Services,50282735.30,0.0594%
57,ZEROBASE CeDeFi,Basis Trading,47479858.63,0.0561%
58,Tectonic,Lending,45302997.76,0.0535%
59,Realms,Governance Incentives,42255282.69,0.0499%
60,Bitunix,CEX,38844208.78,0.0459%
61,vfat.io,Yield Aggregator,38354227.20,0.0453%
62,Compound V3,Lending,38063277.85,0.0450%
63,Deribit,CEX,37817881.01,0.0447%
64,SunX Bridge,Bridge,34606993.16,0.0409%
65,Bitkub,CEX,34515226.62,0.0408%
66,BounceBit CeDeFi Yield,Basis Trading,34300254.13,0.0405%
67,Fluid Lending,Lending,33553309.31,0.0396%
68,PancakeSwap Infinity,Dexs,31959675.84,0.0378%
69,Folks Finance Lending,Lending,31011835.38,0.0366%
70,Vault Bridge,Risk Curators,29806057.49,0.0352%
71,Mantle Bridge,Canonical Bridge,29307964.01,0.0346%
72,Lista DEX,Dexs,28886567.09,0.0341%
73,VALR,CEX,27286856.64,0.0322%
74,Indodax,CEX,26777975.62,0.0316%
75,SushiSwap,Dexs,26714948.78,0.0316%
76,Gate US,CEX,25787538.89,0.0305%
77,Manta CeDeFi,Basis Trading,25335183.37,0.0299%
78,Ourbit,CEX,24875876.99,0.0294%
79,Hibt,CEX,23686269.53,0.0280%
80,Base Bridge,Canonical Bridge,23486895.84,0.0277%
81,Stellar DEX,Dexs,23480167.02,0.0277%
82,EGAS swap,Dexs,22571659.83,0.0267%
83,Zama,Privacy,22450397.29,0.0265%
84,Chamber Vaults,Indexes,21065206.63,0.0249%
85,Apex Omni,Derivatives,21027370.74,0.0248%
86,Vesta Equity,RWA,20634337.00,0.0244%
87,PulseX V2,Dexs,20110109.88,0.0238%
88,Biconomy.com,CEX,19997227.08,0.0236%
89,OSL,CEX,18858607.55,0.0223%
90,Avalanche Core Bridge,Canonical Bridge,18845286.11,0.0223%
91,Compound V2,Lending,18320701.54,0.0216%
92,Flipster,CEX,17881079.35,0.0211%
93,BitKan,CEX,17702468.94,0.0209%
94,Railgun,Privacy,17696985.02,0.0209%
95,Brickken,RWA,16862896.73,0.0199%
96,Yearn Finance,Yield Aggregator,16112002.17,0.0190%
97,EVAA Protocol,Lending,15654474.58,0.0185%
98,Pando Leaf,CDP,15623184.39,0.0185%
